,Score,Value,Features
0,test_f1,0.7653758542141231,Both
1,test_f1,0.8890662410215483,Both
2,test_f1,0.9596042868920033,Both
3,test_f1,0.962582538517975,Both
4,test_f1,0.9746031746031746,Both
5,test_accuracy,0.7971109652002626,Both
6,test_accuracy,0.9087327642810243,Both
7,test_accuracy,0.9678266579120157,Both
8,test_accuracy,0.966491458607096,Both
9,test_accuracy,0.9789750328515112,Both
10,test_precision,0.7964518942375189,Both
11,test_precision,0.9130434389369453,Both
12,test_precision,0.9665666130408024,Both
13,test_precision,0.9670357252175434,Both
14,test_precision,0.9804904552286688,Both
15,test_recall,0.7916592547636736,Both
16,test_recall,0.9014746321771177,Both
17,test_recall,0.966306482593901,Both
18,test_recall,0.9653532987563438,Both
19,test_recall,0.976474424754137,Both
20,test_f1_macro,0.7933299166964196,Both
21,test_f1_macro,0.9057712688654869,Both
22,test_f1_macro,0.9664360768884457,Both
23,test_f1_macro,0.9661217273196656,Both
24,test_f1_macro,0.9783329774361165,Both
25,test_f1_micro,0.7971109652002626,Both
26,test_f1_micro,0.9087327642810243,Both
27,test_f1_micro,0.9678266579120157,Both
28,test_f1_micro,0.966491458607096,Both
29,test_f1_micro,0.9789750328515112,Both
30,test_f1_weighted,0.7962850080028213,Both
31,test_f1_weighted,0.9080856226902216,Both
32,test_f1_weighted,0.9678221721667785,Both
33,test_f1_weighted,0.966461229004979,Both
34,test_f1_weighted,0.9789309221741176,Both
0,test_f1,0.0,Location
1,test_f1,0.0,Location
2,test_f1,0.0,Location
3,test_f1,0.6113138686131386,Location
4,test_f1,0.0,Location
5,test_accuracy,0.5797767564018385,Location
6,test_accuracy,0.5653315824031516,Location
7,test_accuracy,0.5640183847669075,Location
8,test_accuracy,0.44021024967148487,Location
9,test_accuracy,0.5827858081471747,Location
10,test_precision,0.28988837820091923,Location
11,test_precision,0.2826657912015758,Location
12,test_precision,0.28200919238345373,Location
13,test_precision,0.22010512483574243,Location
14,test_precision,0.29139290407358737,Location
15,test_recall,0.5,Location
16,test_recall,0.5,Location
17,test_recall,0.5,Location
18,test_recall,0.5,Location
19,test_recall,0.5,Location
20,test_f1_macro,0.36699916874480465,Location
21,test_f1_macro,0.3611577181208054,Location
22,test_f1_macro,0.3606213266162888,Location
23,test_f1_macro,0.3056569343065693,Location
24,test_f1_macro,0.3682025736820257,Location
25,test_f1_micro,0.5797767564018385,Location
26,test_f1_micro,0.5653315824031516,Location
27,test_f1_micro,0.5640183847669075,Location
28,test_f1_micro,0.44021024967148487,Location
29,test_f1_micro,0.5827858081471747,Location
30,test_f1_weighted,0.42555517531406767,Location
31,test_f1_weighted,0.40834772856469265,Location
32,test_f1_weighted,0.40679411630123713,Location
33,test_f1_weighted,0.26910663072983104,Location
34,test_f1_weighted,0.42916646893029803,Location
0,test_f1,0.0,Keyword
1,test_f1,0.0,Keyword
2,test_f1,0.6135639508420574,Keyword
3,test_f1,0.0,Keyword
4,test_f1,0.0,Keyword
5,test_accuracy,0.5646749835850295,Keyword
6,test_accuracy,0.5988181221273802,Keyword
7,test_accuracy,0.4425476034143139,Keyword
8,test_accuracy,0.5873850197109067,Keyword
9,test_accuracy,0.5433639947437582,Keyword
10,test_precision,0.28233749179251477,Keyword
11,test_precision,0.2994090610636901,Keyword
12,test_precision,0.22127380170715694,Keyword
13,test_precision,0.29369250985545337,Keyword
14,test_precision,0.2716819973718791,Keyword
15,test_recall,0.5,Keyword
16,test_recall,0.5,Keyword
17,test_recall,0.5,Keyword
18,test_recall,0.5,Keyword
19,test_recall,0.5,Keyword
20,test_f1_macro,0.36088963491397397,Keyword
21,test_f1_macro,0.37453798767967145,Keyword
22,test_f1_macro,0.3067819754210287,Keyword
23,test_f1_macro,0.3700331125827815,Keyword
24,test_f1_macro,0.3520647083865474,Keyword
25,test_f1_micro,0.5646749835850295,Keyword
26,test_f1_micro,0.5988181221273802,Keyword
27,test_f1_micro,0.4425476034143139,Keyword
28,test_f1_micro,0.5873850197109067,Keyword
29,test_f1_micro,0.5433639947437582,Keyword
30,test_f1_weighted,0.4075706973421111,Keyword
31,test_f1_weighted,0.44856026889541745,Keyword
32,test_f1_weighted,0.2715312559865704,Keyword
33,test_f1_weighted,0.43470381425625054,Keyword
34,test_f1_weighted,0.38259857271442144,Keyword
0,test_f1,0.7465224111282843,Text
1,test_f1,0.8894009216589862,Text
2,test_f1,0.9223813112283346,Text
3,test_f1,0.9736644093303235,Text
4,test_f1,0.9711459192085737,Text
5,test_accuracy,0.7846355876559422,Text
6,test_accuracy,0.9054497701904136,Text
7,test_accuracy,0.9323703217334208,Text
8,test_accuracy,0.9770039421813403,Text
9,test_accuracy,0.9770039421813403,Text
10,test_precision,0.78025448990633,Text
11,test_precision,0.9093852489730954,Text
12,test_precision,0.9316124412494604,Text
13,test_precision,0.9760847158142731,Text
14,test_precision,0.9775302111392341,Text
15,test_recall,0.7791243757615884,Text
16,test_recall,0.9002311422789757,Text
17,test_recall,0.9308713614431234,Text
18,test_recall,0.9772148629201874,Text
19,test_recall,0.9746157437333909,Text
20,test_f1_macro,0.7796538996280691,Text
21,test_f1_macro,0.9034160571597684,Text
22,test_f1_macro,0.9312313769637892,Text
23,test_f1_macro,0.9766281230325087,Text
24,test_f1_macro,0.9760153408167391,Text
25,test_f1_micro,0.7846355876559421,Text
26,test_f1_micro,0.9054497701904136,Text
27,test_f1_micro,0.9323703217334208,Text
28,test_f1_micro,0.9770039421813403,Text
29,test_f1_micro,0.9770039421813403,Text
30,test_f1_weighted,0.7844180466940263,Text
31,test_f1_weighted,0.9049160355488869,Text
32,test_f1_weighted,0.9323412670199099,Text
33,test_f1_weighted,0.9770175729276709,Text
34,test_f1_weighted,0.9769687492525033,Text
